"","Food code","Main food description","WWEIA Category code","WWEIA Category description","Energy (kcal)","Protein (g)","Carbohydrate (g)","Sugars, total (g)","Fiber, total dietary (g)","Total Fat (g)","Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)","Cholesterol (mg)","Retinol (mcg)","Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)","Lycopene (mcg)","Lutein + zeaxanthin (mcg)","Thiamin (mg)","Riboflavin (mg)","Niacin (mg)","Vitamin B-6 (mg)","Folic acid (mcg)","Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)","Vitamin B-12 (mcg)","Vitamin B-12, added (mcg)","Vitamin C (mg)","Vitamin D (D2 + D3) (mcg)","Vitamin E (alpha-tocopherol) (mg)","Vitamin E, added (mg)","Vitamin K (phylloquinone) (mcg)","Calcium (mg)","Phosphorus (mg)","Magnesium (mg)","Iron (mg)","Zinc (mg)","Copper (mg)","Selenium (mcg)","Potassium (mg)","Sodium (mg)","Caffeine (mg)","Theobromine (mg)","Alcohol (g)","4:0    (g)","6:0    (g)","8:0    (g)","10:0    (g)","12:0    (g)","14:0    (g)","16:0    (g)","18:0    (g)","16:1        (g)","18:1    (g)","20:1    (g)","22:1    (g)","18:2    (g)","18:3    (g)","18:4    (g)","20:4    (g)","20:5 n-3 (g)","22:5 n-3 (g)","22:6 n-3 (g)","Water (g)","Group"
"1",1.1e+07,"Milk, human",9602,"Human milk",70,1.03,6.89,6.89,0,4.38,2.009,1.658,0.497,14,60,61,0,7,0,0,0,0.014,0.036,0.177,0.011,0,5,5,5,16,0.05,0,5,0.1,0.08,0,0.3,32,14,3,0.03,0.17,0.052,1.8,51,17,0,0,0,0,0,0,0.063,0.256,0.321,0.919,0.293,0.129,1.475,0.04,0,0.374,0.052,0,0.026,0,0,0,87.5,"Dairy Foods"
"2",11100000,"Milk, NFS",1004,"Milk, reduced fat",51,3.27,4.85,5.08,0,2.04,1.232,0.541,0.102,8,53,53,0,4,0,0,0,0.039,0.179,0.091,0.037,0,5,5,5,15.8,0.49,0,0.1,1.2,0.04,0,0.2,119,91,11,0.03,0.42,0.014,3.1,141,45,0,0,0,0.059,0.044,0.036,0.049,0.052,0.185,0.548,0.24,0.013,0.517,0.001,0,0.07,0.03,0,0,0,0,0,89.13,"Dairy Foods"
"3",11111000,"Milk, whole",1002,"Milk, whole",61,3.15,4.8,5.05,0,3.25,1.865,0.812,0.195,10,45,46,0,7,0,0,0,0.046,0.169,0.089,0.036,0,5,5,5,14.3,0.45,0,0,1.3,0.07,0,0.3,113,84,10,0.03,0.37,0.025,3.7,132,43,0,0,0,0.075,0.075,0.075,0.075,0.077,0.297,0.829,0.365,0,0.812,0,0,0.12,0.075,0,0,0,0,0,88.13,"Dairy Foods"
"4",11111100,"Milk, low sodium, whole",1002,"Milk, whole",61,3.1,4.46,4.46,0,3.46,2.154,0.999,0.128,14,28,29,0,7,0,0,0,0.02,0.105,0.043,0.034,0,5,5,5,16,0.36,0,0.9,1.3,0.08,0,0.3,101,86,5,0.05,0.38,0.01,2,253,3,0,0,0,0.112,0.066,0.039,0.087,0.097,0.348,0.91,0.419,0.077,0.87,0,0,0.078,0.05,0,0,0,0,0,88.2,"Dairy Foods"
"5",11111150,"Milk, calcium fortified, whole",1002,"Milk, whole",61,3.15,4.8,5.05,0,3.25,1.865,0.812,0.195,10,45,46,0,7,0,0,0,0.046,0.169,0.089,0.036,0,5,5,5,14.3,0.45,0,0,1.3,0.07,0,0.3,113,84,10,0.03,0.37,0.025,3.7,132,43,0,0,0,0.075,0.075,0.075,0.075,0.077,0.297,0.829,0.365,0,0.812,0,0,0.12,0.075,0,0,0,0,0,88.13,"Dairy Foods"
"6",11111160,"Milk, calcium fortified, low fat (1%)",1006,"Milk, lowfat",42,3.37,4.99,5.2,0,0.97,0.633,0.277,0.035,5,58,58,0,2,0,0,0,0.02,0.185,0.093,0.037,0,5,5,5,17.7,0.47,0,0,1.2,0.01,0,0.1,125,95,11,0.03,0.42,0.01,3.3,150,44,0,0,0,0.024,0.018,0.013,0.027,0.029,0.091,0.287,0.126,0.017,0.25,0,0,0.03,0.004,0,0,0,0,0,89.92,"Dairy Foods"
"7",11111170,"Milk, calcium fortified, fat free (skim)",1008,"Milk, nonfat",35,3.4,4.85,4.85,0,0.18,0.117,0.047,0.007,2,137,137,0,0,0,0,0,0.036,0.14,0.088,0.04,0,5,5,5,16,0.38,0,1,1.2,0.01,0,0,204,101,11,0.04,0.4,0.011,2.1,166,52,0,0,0,0.009,0.001,0.002,0.004,0.003,0.017,0.053,0.019,0.007,0.038,0,0,0.005,0.002,0,0,0,0,0,90.8,"Dairy Foods"
"8",11112110,"Milk, reduced fat (2%)",1004,"Milk, reduced fat",50,3.3,4.8,5.06,0,1.98,1.257,0.56,0.073,8,55,55,0,4,0,0,0,0.039,0.185,0.092,0.038,0,5,5,5,16.4,0.53,0,0.2,1.2,0.03,0,0.2,120,92,11,0.02,0.48,0.006,2.5,140,47,0,0,0,0.077,0.04,0.02,0.049,0.055,0.175,0.558,0.243,0.027,0.508,0.002,0,0.062,0.008,0,0,0,0,0,89.21,"Dairy Foods"
"9",11112120,"Milk, acidophilus, low fat (1%)",1006,"Milk, lowfat",42,3.37,4.99,5.2,0,0.97,0.633,0.277,0.035,5,58,58,0,2,0,0,0,0.02,0.185,0.093,0.037,0,5,5,5,17.7,0.47,0,0,1.2,0.01,0,0.1,125,95,11,0.03,0.42,0.01,3.3,150,44,0,0,0,0.024,0.018,0.013,0.027,0.029,0.091,0.287,0.126,0.017,0.25,0,0,0.03,0.004,0,0,0,0,0,89.92,"Dairy Foods"
"10",11112130,"Milk, acidophilus, reduced fat (2%)",1004,"Milk, reduced fat",50,3.3,4.8,5.06,0,1.98,1.257,0.56,0.073,8,55,55,0,4,0,0,0,0.039,0.185,0.092,0.038,0,5,5,5,16.4,0.53,0,0.2,1.2,0.03,0,0.2,120,92,11,0.02,0.48,0.006,2.5,140,47,0,0,0,0.077,0.04,0.02,0.049,0.055,0.175,0.558,0.243,0.027,0.508,0.002,0,0.062,0.008,0,0,0,0,0,89.21,"Dairy Foods"
"11",11112210,"Milk, low fat (1%)",1006,"Milk, lowfat",42,3.37,4.99,5.2,0,0.97,0.633,0.277,0.035,5,58,58,0,2,0,0,0,0.02,0.185,0.093,0.037,0,5,5,5,17.7,0.47,0,0,1.2,0.01,0,0.1,125,95,11,0.03,0.42,0.01,3.3,150,44,0,0,0,0.024,0.018,0.013,0.027,0.029,0.091,0.287,0.126,0.017,0.25,0,0,0.03,0.004,0,0,0,0,0,89.92,"Dairy Foods"
"12",11113000,"Milk, fat free (skim)",1008,"Milk, nonfat",34,3.37,4.96,5.09,0,0.08,0.056,0.022,0.003,2,61,61,0,0,0,0,0,0.045,0.182,0.094,0.037,0,5,5,5,15.6,0.5,0,0,1.2,0.01,0,0,122,101,11,0.03,0.42,0.013,3.1,156,42,0,0,0,0.004,0,0.001,0.002,0.001,0.008,0.025,0.009,0.003,0.018,0,0,0.002,0.001,0,0,0,0,0,90.84,"Dairy Foods"
